"","club","sofifa_id","player_url","short_name","long_name","age","dob","height_cm","weight_kg","nationality","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","body_type","real_face","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","nation_position","nation_jersey_number","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","league","country","player_positions.first","player_positions.class"
"11","1. FC Nürnberg",239351,"https://sofifa.com/player/239351/alexander-fuchs/20/159586","A. Fuchs","Alexander Fuchs",22,"1997-01-05",184,74,"Germany",67,76,1200000,5000,"CM, CAM","Right",1,3,3,"High/High","Lean","No",2100000,"","RES",35,"","2017-07-01",2020,"",NA,59,50,63,69,56,66,NA,NA,NA,NA,NA,NA,"",53,49,51,69,38,68,63,42,64,70,67,53,67,68,68,53,70,81,64,52,49,60,53,68,45,49,59,54,52,9,13,7,5,11,57,57,57,62,61,61,61,62,64,64,64,64,65,65,65,64,62,63,63,63,62,60,58,58,58,60,"Bundesliga","Germany","CM","Midfielder"
"12","1. FC Nürnberg",212249,"https://sofifa.com/player/212249/sebastian-kerk/20/159586","S. Kerk","Sebastian Kerk",25,"1994-04-17",184,76,"Germany",71,74,3000000,9000,"LM, RM, CAM","Left",1,3,3,"Medium/Medium","Normal","Yes",5000000,"","LCM",10,"","2017-07-01",2020,"",NA,65,69,73,72,34,57,NA,NA,NA,NA,NA,NA,"Power Free-Kick, Argues with Officials",83,62,48,70,66,73,78,76,64,74,64,66,66,65,68,81,60,55,64,72,40,31,71,71,66,56,38,27,32,14,7,7,7,12,67,67,67,70,69,69,69,70,69,69,69,69,64,64,64,69,55,51,51,51,55,51,43,43,43,51,"Bundesliga","Germany","LM","Midfielder"
"13","1. FC Nürnberg",183795,"https://sofifa.com/player/183795/georg-margreitter/20/159586","G. Margreitter","Georg Margreitter",30,"1988-11-07",186,85,"Austria",73,73,3200000,11000,"CB","Right",1,2,2,"Medium/High","Normal","Yes",5200000,"","RCB",33,"","2015-08-24",2021,"",NA,47,24,49,44,74,73,NA,NA,NA,NA,NA,NA,"",35,16,74,60,14,39,37,20,55,47,43,50,39,69,55,48,72,54,82,18,75,71,26,49,23,60,73,79,72,13,14,7,15,9,43,43,43,40,42,42,42,40,44,44,44,44,51,51,51,44,59,65,65,65,59,62,72,72,72,62,"Bundesliga","Germany","CB","Defender"
"14","1. FC Nürnberg",206626,"https://sofifa.com/player/206626/mikael-ishak/20/159586","M. Ishak","Mikael Ishak",26,"1993-03-31",185,81,"Sweden",73,75,4900000,14000,"ST","Right",1,5,3,"Medium/Medium","Normal","Yes",8200000,"","ST",9,"","2017-01-30",2020,"",NA,73,72,58,67,38,76,NA,NA,NA,NA,NA,NA,"Injury Free",57,73,72,70,65,67,38,31,43,69,69,77,62,64,64,76,81,68,83,67,66,30,74,59,63,56,24,43,46,12,11,15,15,9,71,71,71,67,69,69,69,67,66,66,66,66,60,60,60,66,55,52,52,52,55,53,52,52,52,53,"Bundesliga","Germany","ST","Forward"
"15","1. FC Nürnberg",212230,"https://sofifa.com/player/212230/iuri-jose-picanco-medeiros/20/159586","Iuri Medeiros","Iuri José  Picanço Medeiros",24,"1994-07-10",175,64,"Portugal",74,77,7000000,13000,"RW, RM, CF","Left",2,3,4,"High/Medium","Normal","No",11700000,"","RW",40,"","2019-07-19",2023,"",NA,73,72,75,80,33,50,NA,NA,NA,NA,NA,NA,"Injury Free, Beat Offside Trap, Speed Dribbler (CPU AI Only), Crowd Favourite",74,68,45,74,74,80,85,79,73,78,79,68,87,68,90,79,61,53,41,76,67,30,67,76,64,76,36,31,26,7,8,7,9,12,68,68,68,74,73,73,73,74,74,74,74,73,68,68,68,73,55,53,53,53,55,51,43,43,43,51,"Bundesliga","Germany","RW","Forward"
"16","1. FC Nürnberg",221024,"https://sofifa.com/player/221024/asger-sorensen/20/159586","A. Sørensen","Asger Sørensen",23,"1996-06-05",191,87,"Denmark",68,76,1200000,5000,"CB","Right",1,3,2,"Medium/Medium","Normal","No",2200000,"","LCB",4,"","2019-07-06",2022,"",NA,58,35,54,55,68,68,NA,NA,NA,NA,NA,NA,"Power Free-Kick",47,30,61,63,35,49,38,32,56,64,49,66,52,68,48,46,51,60,77,33,61,68,38,54,36,66,70,69,67,13,9,8,13,9,50,50,50,51,51,51,51,51,53,53,53,53,57,57,57,53,62,64,64,64,62,63,67,67,67,63,"Bundesliga","Germany","CB","Defender"
"17","1. FC Nürnberg",244708,"https://sofifa.com/player/244708/kevin-goden/20/159586","K. Goden","Kevin Goden",20,"1999-02-22",182,74,"Germany",63,75,600000,2000,"RB, RM","Right",1,2,2,"High/Medium","Normal","No",1100000,"","RES",2,"","2018-07-01",2021,"",NA,77,38,51,59,60,61,NA,NA,NA,NA,NA,NA,"",60,36,55,57,33,56,50,41,39,60,71,82,69,50,68,43,63,66,59,34,58,58,47,41,38,55,57,64,64,7,9,10,12,8,50,50,50,55,52,52,52,55,52,52,52,55,51,51,51,55,61,56,56,56,61,61,59,59,59,61,"Bundesliga","Germany","RB","Defender"
"18","1. FC Nürnberg",202087,"https://sofifa.com/player/202087/johannes-geis/20/159586","J. Geis","Johannes Geis",25,"1993-08-17",181,81,"Germany",74,77,6500000,12000,"CDM, CB, CM","Right",2,3,2,"Low/High","Normal","No",10900000,"#Crosser","CDM",5,"","2019-08-05",2022,"",NA,40,65,79,64,72,73,NA,NA,NA,NA,NA,NA,"Long Throw-in, Leadership, Finesse Shot",86,51,65,77,64,59,90,80,79,69,44,37,67,67,73,85,79,65,76,75,74,77,69,74,69,69,70,73,71,15,15,14,16,8,64,64,64,64,64,64,64,64,66,66,66,65,71,71,71,65,69,73,73,73,69,68,71,71,71,68,"Bundesliga","Germany","CDM","Midfielder"
"19","1. FC Nürnberg",223427,"https://sofifa.com/player/223427/lukas-jager/20/159586","L. Jäger","Lukas Jäger",25,"1994-02-12",184,74,"Austria",65,70,650000,3000,"CDM, CB","Right",1,3,2,"Medium/High","Normal","No",1100000,"","SUB",20,"","2017-07-01",2020,"",NA,58,43,54,58,65,70,NA,NA,NA,NA,NA,NA,"",38,38,61,64,32,56,48,32,60,59,62,54,64,62,64,51,71,74,69,52,69,67,42,54,35,58,65,65,61,8,8,12,13,11,52,52,52,53,53,53,53,53,55,55,55,54,59,59,59,54,60,64,64,64,60,61,64,64,64,61,"Bundesliga","Germany","CDM","Midfielder"
"20","1. FC Nürnberg",177508,"https://sofifa.com/player/177508/patric-klandt/20/159586","P. Klandt","Patric Klandt",35,"1983-09-29",184,85,"Germany",68,68,240000,3000,"GK","Right",1,3,1,"Medium/Medium","Normal","No",384000,"","RES",1,"","2018-07-27",2022,"",NA,NA,NA,NA,NA,NA,NA,69,68,64,67,41,67,"",12,12,14,27,10,14,15,15,24,20,42,40,53,66,44,48,75,26,62,15,26,9,7,28,21,44,8,12,11,69,68,64,67,67,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"21","1. FC Nürnberg",201016,"https://sofifa.com/player/201016/oliver-sorg/20/159586","O. Sorg","Oliver Sorg",29,"1990-05-29",175,75,"Germany",73,73,3300000,12000,"RB, CB","Right",2,4,2,"Medium/Medium","Normal","No",5300000,"","RB",25,"","2019-07-01",2022,"",NA,72,55,66,71,73,69,NA,NA,NA,NA,NA,NA,"Inflexible, Injury Prone",68,40,58,72,61,68,59,50,62,72,75,69,77,70,79,79,63,74,64,65,76,73,49,60,51,68,76,75,74,11,10,7,8,13,61,61,61,64,63,63,63,64,64,64,64,65,66,66,66,65,72,71,71,71,72,72,71,71,71,72,"Bundesliga","Germany","RB","Defender"
"22","1. FC Nürnberg",193425,"https://sofifa.com/player/193425/hanno-behrens/20/159586","H. Behrens","Hanno Behrens",29,"1990-03-26",188,82,"Germany",75,75,6500000,15000,"CM, CDM","Right",1,2,3,"High/High","Normal","Yes",10400000,"#Engine","RCM",18,"","2015-07-01",2021,"",NA,67,71,65,70,75,81,NA,NA,NA,NA,NA,NA,"Diver, Avoids Using Weaker Foot",54,68,81,74,62,69,52,40,68,74,66,67,65,76,62,78,90,90,78,77,77,79,72,69,57,71,71,76,73,6,9,16,6,10,72,72,72,69,71,71,71,69,71,71,71,70,73,73,73,70,72,75,75,75,72,73,76,76,76,73,"Bundesliga","Germany","CM","Midfielder"
"23","1. FC Nürnberg",239571,"https://sofifa.com/player/239571/tim-handwerker/20/159586","T. Handwerker","Tim Handwerker",21,"1998-05-19",182,81,"Germany",66,74,850000,3000,"LB, LM","Left",1,3,2,"High/Low","Lean","No",1500000,"","LB",6,"","2019-07-04",2022,"",NA,78,39,61,64,60,66,NA,NA,NA,NA,NA,NA,"",74,34,56,57,32,62,71,44,59,64,76,80,72,63,68,56,67,74,66,35,58,59,45,59,38,54,54,66,64,11,11,15,7,10,53,53,53,59,56,56,56,59,57,57,57,62,58,58,58,62,65,61,61,61,65,65,61,61,61,65,"Bundesliga","Germany","LB","Defender"
"24","1. FC Nürnberg",239627,"https://sofifa.com/player/239627/adam-zrelak/20/159586","A. Zrelák","Adam Zrelák",25,"1994-05-05",183,80,"Slovakia",69,73,1400000,8000,"ST","Left",1,4,3,"Medium/High","Normal","No",2300000,"","SUB",11,"","2017-07-07",2021,"",NA,69,67,43,62,30,75,NA,NA,NA,NA,NA,NA,"Power Free-Kick",38,69,73,48,69,59,45,41,39,64,68,69,65,65,66,73,69,73,78,57,73,25,71,43,68,58,27,26,19,13,14,7,10,7,67,67,67,59,62,62,62,59,57,57,57,58,51,51,51,58,45,44,44,44,45,44,45,45,45,44,"Bundesliga","Germany","ST","Forward"
"25","1. FC Nürnberg",204939,"https://sofifa.com/player/204939/ondrej-petrak/20/159586","O. Petrák","Ondrej Petrák",27,"1992-03-11",186,79,"Czech Republic",71,74,2600000,9000,"CDM","Right",1,3,3,"Low/Medium","Lean","Yes",4300000,"","SUB",31,"","2014-01-07",2021,"",NA,76,44,64,66,71,71,NA,NA,NA,NA,NA,NA,"",59,30,75,71,39,64,57,24,68,69,74,77,67,68,60,58,80,73,74,67,57,74,43,66,30,71,68,72,70,12,13,7,13,11,57,57,57,61,60,60,60,61,63,63,63,63,66,66,66,63,69,69,69,69,69,70,70,70,70,70,"Bundesliga","Germany","CDM","Midfielder"
"26","1. FC Nürnberg",181733,"https://sofifa.com/player/181733/andreas-lukse/20/159586","A. Lukse","Andreas Lukse",31,"1987-11-08",187,82,"Austria",65,65,350000,3000,"GK","Right",1,3,1,"Medium/Medium","Normal","No",560000,"","SUB",30,"","2019-07-05",2021,"",NA,NA,NA,NA,NA,NA,NA,66,62,60,68,40,64,"",9,12,8,32,12,13,12,11,25,22,43,38,32,62,57,45,59,28,63,9,22,28,15,34,24,13,8,10,9,66,62,60,64,68,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"27","1. FC Nürnberg",235419,"https://sofifa.com/player/235419/nikola-dovedan/20/159586","N. Dovedan","Nikola Dovedan",24,"1994-07-06",172,71,"Austria",72,76,4100000,11000,"CF, CAM, LM","Right",1,4,3,"High/Medium","Lean","No",6900000,"#Acrobat","LW",8,"","2019-07-01",2022,"",NA,79,68,64,78,34,57,NA,NA,NA,NA,NA,NA,"Diver, Finesse Shot, Crowd Favourite",63,73,55,68,58,77,62,71,54,73,83,75,90,71,91,68,60,73,51,63,50,25,72,62,53,67,35,34,31,15,13,14,9,13,69,69,69,72,71,71,71,72,70,70,70,70,63,63,63,70,55,50,50,50,55,52,44,44,44,52,"Bundesliga","Germany","CF","Forward"
"28","1. FC Nürnberg",223095,"https://sofifa.com/player/223095/federico-palacios-martinez/20/159586","F. Palacios Martínez","Federico Palacios Martínez",24,"1995-04-09",170,68,"Spain",67,72,1000000,5000,"ST, CAM","Right",1,3,4,"Medium/Medium","Lean","No",1700000,"#Acrobat","RES",21,"","2018-01-08",2021,"",NA,73,66,59,78,31,44,NA,NA,NA,NA,NA,NA,"",52,68,43,69,69,77,65,48,43,74,78,69,91,70,91,69,68,61,31,59,51,24,69,63,56,58,28,35,30,15,10,10,7,11,65,65,65,69,69,69,69,69,69,69,69,67,61,61,61,67,52,47,47,47,52,48,40,40,40,48,"Bundesliga","Germany","ST","Forward"
"29","1. FC Nürnberg",246256,"https://sofifa.com/player/246256/simon-rhein/20/159586","S. Rhein","Simon Rhein",21,"1998-05-18",180,75,"Germany",65,75,800000,3000,"CDM, CM","Left",1,3,2,"Medium/Medium","Normal","No",1400000,"","SUB",38,"","2018-10-28",2021,"",NA,64,40,57,60,63,64,NA,NA,NA,NA,NA,NA,"",47,38,52,68,31,55,36,38,64,63,63,64,67,63,68,45,52,67,64,42,61,62,41,54,41,52,61,69,67,11,14,13,5,8,51,51,51,55,54,54,54,55,56,56,56,57,60,60,60,57,62,64,64,64,62,62,62,62,62,62,"Bundesliga","Germany","CDM","Midfielder"
"30","1. FC Nürnberg",215417,"https://sofifa.com/player/215417/christian-mathenia/20/159586","C. Mathenia","Christian Mathenia",27,"1992-03-31",189,90,"Germany",75,77,5500000,11000,"GK","Right",2,1,1,"Medium/Medium","Normal","No",9200000,"","GK",26,"","2018-07-01",2024,"",NA,NA,NA,NA,NA,NA,NA,76,70,64,79,45,74,"Second Wind",15,12,14,31,16,15,15,15,25,23,47,44,35,69,39,48,55,45,69,15,30,19,15,35,23,54,15,12,12,76,70,64,74,79,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"31","1. FSV Mainz 05",240190,"https://sofifa.com/player/240190/kunde-malong/20/159586","K. Malong","Pierre Kunde Malong",23,"1995-07-26",180,79,"Cameroon",75,80,8000000,20000,"CDM, CM","Right",1,4,3,"Medium/Medium","Stocky","No",14200000,"","CDM",14,"","2018-07-06",2022,"RCM",15,75,68,71,71,69,81,NA,NA,NA,NA,NA,NA,"Leadership, Argues with Officials",69,62,54,78,52,70,62,40,73,75,74,75,66,72,73,85,76,76,84,74,81,72,63,67,57,65,70,74,62,11,13,5,8,9,69,69,69,70,70,70,70,70,71,71,71,71,72,72,72,71,71,73,73,73,71,70,71,71,71,70,"Bundesliga","Germany","CDM","Midfielder"
"32","1. FSV Mainz 05",242818,"https://sofifa.com/player/242818/finn-dahmen/20/159586","F. Dahmen","Finn Dahmen",21,"1998-03-27",186,80,"Germany",63,75,525000,3000,"GK","Right",1,3,1,"Medium/Medium","Normal","No",998000,"","RES",37,"","2018-03-03",2023,"",NA,NA,NA,NA,NA,NA,NA,65,60,59,65,42,60,"",14,8,12,16,5,12,13,12,17,18,44,40,39,63,39,44,69,25,45,6,17,9,4,27,11,31,18,12,11,65,60,59,60,65,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Bundesliga","Germany","GK","Goal Keeper"
"33","1. FSV Mainz 05",252264,"https://sofifa.com/player/252264/erkan-eyibil/20/159586","E. Eyibil","Erkan Eyibil",18,"2001-06-15",175,72,"Germany",59,79,325000,1000,"CAM, CF","Left",1,3,2,"High/Medium","Normal","No",878000,"","RES",38,"","2019-07-30",2020,"",NA,66,45,60,63,35,49,NA,NA,NA,NA,NA,NA,"",52,45,49,66,54,63,55,54,62,62,66,66,65,51,69,52,59,56,46,32,45,25,50,61,57,52,47,28,25,12,14,14,11,7,52,52,52,57,56,56,56,57,58,58,58,58,55,55,55,58,47,47,47,47,47,45,41,41,41,45,"Bundesliga","Germany","CAM","Midfielder"
"34","1. FSV Mainz 05",235800,"https://sofifa.com/player/235800/marin-sverko/20/159586","M. Šverko","Marin Šverko",21,"1998-02-04",187,81,"Croatia",59,71,250000,3000,"LB","Left",1,3,2,"Medium/Medium","Normal","No",475000,"","RES",44,"","2017-01-17",2021,"",NA,65,29,51,57,57,65,NA,NA,NA,NA,NA,NA,"",59,20,55,58,23,56,46,39,49,59,64,65,54,56,55,47,38,53,74,28,65,59,33,36,38,43,53,62,55,10,7,12,7,12,46,46,46,49,47,47,47,49,48,48,48,52,50,50,50,52,57,56,56,56,57,58,59,59,59,58,"Bundesliga","Germany","LB","Defender"
"35","1. FSV Mainz 05",229071,"https://sofifa.com/player/229071/karim-onisiwo/20/159586","K. Onisiwo","Karim Onisiwo",27,"1992-03-17",188,85,"Austria",75,76,8000000,28000,"ST, RM","Right",1,3,3,"High/Medium","Normal","No",14200000,"","RS",21,"","2016-01-05",2022,"SUB",20,78,70,67,75,53,76,NA,NA,NA,NA,NA,NA,"",71,74,66,69,69,78,69,56,63,75,76,79,67,74,64,75,55,74,79,60,75,49,75,66,44,71,58,48,45,11,11,10,10,16,73,73,73,73,73,73,73,73,71,71,71,73,68,68,68,73,64,62,62,62,64,62,60,60,60,62,"Bundesliga","Germany","ST","Forward"
"36","1. FSV Mainz 05",230978,"https://sofifa.com/player/230978/taiwo-awoniyi/20/159586","T. Awoniyi","Taiwo Awoniyi",21,"1997-08-12",185,84,"Nigeria",71,80,3700000,14000,"ST","Right",1,2,3,"Medium/Medium","Stocky","No",NA,"","SUB",22,"Liverpool","",2020,"",NA,79,71,57,65,26,72,NA,NA,NA,NA,NA,NA,"",56,74,68,66,63,68,54,35,52,58,78,79,68,63,69,75,79,66,78,61,64,14,69,53,68,58,20,27,18,10,7,9,8,10,69,69,69,65,66,66,66,65,63,63,63,64,56,56,56,64,47,44,44,44,47,44,42,42,42,44,"Bundesliga","Germany","ST","Forward"
